Name,Index,Red,Green,Blue,Alpha
L_4_Face,1,48,24,95,1
L_3b_Face,2,130,116,159,1
L_1_Face,3,172,162,191,1
L_3a_Face,4,89,70,126,1
L_4_Ocular,5,63,134,228,1
L_3b_Ocular,6,139,182,238,1
L_3a_Ocular,7,101,158,233,1
L_4_UpperExtremity,8,152,180,41,1
L_3b_UpperExtremity,9,193,210,126,1
L_1_UpperExtremity,10,213,225,169,1
L_2_UpperExtremity,11,232,237,213,1
L_3a_UpperExtremity,12,172,195,83,1
L_4_Trunk,13,239,184,1,1
L_3b_Trunk,14,245,212,102,1
L_1_Trunk,15,248,226,153,1
L_2_Trunk,16,251,240,204,1
L_3a_Trunk,17,242,198,51,1
L_4_LowerExtremity,18,229,89,46,1
L_3b_LowerExtremity,19,239,155,129,1
L_1_LowerExtremity,20,242,172,150,1
L_2_LowerExtremity,21,249,221,213,1
L_3a_LowerExtremity,22,234,122,87,1
