Name,Index,Red,Green,Blue,Alpha
R_4_Face,23,48,24,95,1
R_3b_Face,24,130,116,159,1
R_1_Face,25,172,162,191,1
R_3a_Face,26,89,70,126,1
R_4_Ocular,27,63,134,228,1
R_3b_Ocular,28,139,182,238,1
R_3a_Ocular,29,101,158,233,1
R_4_UpperExtremity,30,152,180,41,1
R_3b_UpperExtremity,31,193,210,126,1
R_1_UpperExtremity,32,213,225,169,1
R_2_UpperExtremity,33,232,237,213,1
R_3a_UpperExtremity,34,172,195,83,1
R_4_Trunk,35,239,184,1,1
R_3b_Trunk,36,245,212,102,1
R_1_Trunk,37,248,226,153,1
R_2_Trunk,38,251,240,204,1
R_3a_Trunk,39,242,198,51,1
R_4_LowerExtremity,40,229,89,46,1
R_3b_LowerExtremity,41,239,155,129,1
R_1_LowerExtremity,42,242,172,150,1
R_2_LowerExtremity,43,249,221,213,1
R_3a_LowerExtremity,44,234,122,87,1
